seed,accounts,candidate_pairs,test_candidate_recall,scored_pair_precision,scored_pair_recall,scored_pair_f1,guarded_pair_precision,guarded_pair_recall,guarded_pair_f1,scored_component_precision,scored_component_recall,scored_component_f1,guarded_component_precision,guarded_component_recall,guarded_component_f1,guarded_bcubed_f1,deferred_edges
1,511,2072,1.0,0.9886363636363636,0.9354838709677419,0.9613259668508287,0.9886363636363636,0.9354838709677419,0.9613259668508287,0.9886363636363636,0.9354838709677419,0.9613259668508287,0.9886363636363636,0.9354838709677419,0.9613259668508287,0.9763434978804867,0
7,514,2115,1.0,0.95,0.76,0.8444444444444444,0.95,0.76,0.8444444444444444,0.95,0.76,0.8444444444444444,0.95,0.76,0.8444444444444444,0.9290012406947891,0
42,488,1937,1.0,0.9012345679012346,0.6759259259259259,0.7724867724867724,0.9012345679012346,0.6759259259259259,0.7724867724867724,0.9024390243902439,0.6851851851851852,0.7789473684210526,0.9024390243902439,0.6851851851851852,0.7789473684210526,0.8956092883074181,0
99,510,2117,1.0,0.9726027397260274,0.7717391304347826,0.8606060606060606,0.9726027397260274,0.7717391304347826,0.8606060606060606,0.9594594594594594,0.7717391304347826,0.855421686746988,0.9594594594594594,0.7717391304347826,0.855421686746988,0.9458847719565883,0
123,511,2135,1.0,0.927536231884058,0.8533333333333334,0.8888888888888888,0.927536231884058,0.8533333333333334,0.8888888888888888,0.927536231884058,0.8533333333333334,0.888888888888889,0.927536231884058,0.8533333333333334,0.888888888888889,0.9452723535457349,0
